"year","month","user registrations"
"2015","1","18"
"2015","2","12"
"2015","3","31"
"2015","4","29"
"2015","5","33"
"2015","6","24"
"2015","7","20"
"2015","8","16"
"2015","9","26"
"2015","10","25"
"2015","11","18"
"2015","12","5"
