"year","month","user registrations"
"2016","1","18"
"2016","2","19"
"2016","3","22"
"2016","4","33"
"2016","5","48"
"2016","6","51"
"2016","7","31"
"2016","8","30"
"2016","9","22"
"2016","10","18"
"2016","11","16"
"2016","12","6"
